ProductName,DiscountPrice,Image_Url,Category
"Colgate Strong Teeth, 100 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",63.00,https://www.bigbasket.com/media/uploads/p/l/100006161_16-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene
"Colgate Strong Teeth, 300 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",166.00,https://www.bigbasket.com/media/uploads/p/l/263925_17-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene
Strong Teeth Anticavity Toothpaste With Amino Shakti - Saver Pack,429.45,https://www.bigbasket.com/media/uploads/p/l/1212657_3-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-saver-pack.jpg,Beauty & Hygiene
"Rice/Akki - Raw, Sona Masoori",57.00,https://www.bigbasket.com/media/uploads/p/l/10000457_13-bb-royal-rice-raw-sona-masoori.jpg,"Foodgrains, Oil & Masala"
"Rice/Akki - Raw, Sona Masoori, 12-17 Months Old",545.00,https://www.bigbasket.com/media/uploads/p/l/10000404_18-bb-royal-rice-raw-sona-masoori-12-17-months-old.jpg,"Foodgrains, Oil & Masala"
Sona Masoori Raw Rice/Akki,1245.00,https://www.bigbasket.com/media/uploads/p/l/20001214_15-bb-royal-sona-masoori-raw-rice.jpg,"Foodgrains, Oil & Masala"
"Rice/Akki - Raw, Sona Masoori",280.00,https://www.bigbasket.com/media/uploads/p/l/10000415_14-bb-royal-rice-raw-sona-masoori.jpg,"Foodgrains, Oil & Masala"
"Tender Coconut Water - No Added Sugar, Flavours",39.00,https://www.bigbasket.com/media/uploads/p/l/40216129_10-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages
"Tender Coconut Water - No Added Sugar, Flavours",151.00,https://www.bigbasket.com/media/uploads/p/l/1214882_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages
"Tender Coconut Water - No Added Sugar, Flavours",219.00,https://www.bigbasket.com/media/uploads/p/l/1214883_8-fresho-tender-coconut-water-no-added-sugar-flavours.jpg,Beverages
